match_number,date,competition,rival_name,local,gf,ga,goals_info,shots,shots_on_goal,possession,passing,passing_accuracy,fouls,yellow_cards,red_cards,offside,corner,goals_info_against,shots_against,shots_on_goal_against,possession_against,passing_against,passing_accuracy_against,fouls_against,yellow_cards_against,red_cards_against,offside_against,corner_against
28,11/1,Supercopa de España,Real Madrid,True,3,2,"[['Raphinha', ""36',"", ""73'""], ['Robert Lewandowski', ""45+4'""]]",14,8,0.71,565,0.93,14,2,1,1,5,"[['Vinícius Júnior', ""45+2'""], ['Gonzalo García Torres', ""45+6'""]]",10,8,0.29,262,0.8,9,3,0,0,6
29,15/1,Copa del Rey,Racing de Santander,False,2,0,"[['Ferran Torres', ""66'""], ['Lamine Yamal', ""90+6'""]]",17,6,0.74,660,0.9,10,1,0,5,10,[],7,3,0.26,186,0.61,16,4,0,10,3
30,18/1,LaLiga,Real Sociedad,False,1,2,"[['Marcus Rashford', ""70'""]]",22,9,0.75,572,0.9,8,4,0,3,8,"[['Mikel Oyarzabal', ""32'""], ['Gonçalo Guedes', ""71'""]]",5,4,0.25,215,0.65,11,3,1,4,6
31,21/1,Liga de Campeones de la UEFA,Slavia Praga,False,4,2,"[['Fermín López Marín', ""34',"", ""42'""], ['Dani Olmo', ""63'""], ['Robert Lewandowski', ""70'""]]",17,12,0.59,467,0.85,11,1,0,2,4,"[['Vasil Kušej', ""10'""], ['Robert Lewandowski', ""44' (GEC)""]]",8,2,0.41,337,0.79,8,0,0,6,5
32,25/1,LaLiga,Real Oviedo,True,3,0,"[['Dani Olmo', ""52'""], ['Raphinha', ""57'""], ['Lamine Yamal', ""73'""]]",16,7,0.73,622,0.9,8,1,0,3,10,[],10,4,0.27,239,0.74,17,2,0,5,1
33,28/1,Liga de Campeones de la UEFA,Copenhague,True,4,1,"[['Robert Lewandowski', ""48'""], ['Lamine Yamal', ""60'""], ['Raphinha', ""69' (P)""], ['Marcus Rashford', ""85'""]]",26,12,0.71,663,0.92,13,1,0,1,10,"[['Viktor Daðason', ""4'""]]",6,2,0.29,258,0.7,10,4,0,6,1
34,31/1,LaLiga,Elche C. F.,False,3,1,"[['Lamine Yamal', ""6'""], ['Ferran Torres', ""40'""], ['Marcus Rashford', ""72'""]]",28,10,0.62,522,0.9,9,1,0,2,8,"[['Álvaro Rodríguez Muñoz', ""29'""]]",9,4,0.38,313,0.83,16,2,0,5,2
35,3/2,Copa del Rey,Albacete,False,2,1,"[['Lamine Yamal', ""39'""], ['Ronald Araújo', ""56'""]]",16,6,0.72,601,0.93,16,1,0,0,6,"[['Javier Moreno Arrones', ""87'""]]",6,3,0.28,227,0.68,10,1,0,2,3
36,7/2,LaLiga,R.C.D. Mallorca,True,3,0,"[['Robert Lewandowski', ""29'""], ['Lamine Yamal', ""61'""], ['Marc Bernal', ""83'""]]",15,6,0.74,752,0.93,5,0,0,0,12,[],10,4,0.26,231,0.74,8,0,0,3,3
37,12/2,Copa del Rey,Atlético Madrid,False,0,4,[],13,4,0.65,619,0.91,9,3,1,1,8,"[['Eric García', ""7' (GEC)""], ['Antoine Griezmann', ""14'""], ['Ademola Lookman', ""33'""], ['Julián Alvarez', ""45+2'""]]",11,6,0.35,335,0.85,11,5,0,3,5
38,16/2,LaLiga,Girona,False,1,2,"[['Pau Cubarsí', ""59'""]]",23,4,0.59,763,0.91,7,3,0,2,7,"[['Thomas Lemar', ""62'""], ['Fran Beltrán', ""86'""]]",12,9,0.41,315,0.81,9,1,1,4,3
39,22/2,LaLiga,Levante,True,3,0,"[['Marc Bernal', ""4'""], ['Frenkie de Jong', ""32'""], ['Fermín López Marín', ""81'""]]",22,10,0.74,738,0.94,11,2,0,2,13,[],5,2,0.26,263,0.82,10,1,0,3,6
40,28/2,LaLiga,Villarreal,True,4,1,"[['Lamine Yamal', ""28',"", ""37',"", ""69'""], ['Robert Lewandowski', ""90+1'""]]",16,8,0.74,766,0.93,13,2,0,3,3,"[['Pape Gueye', ""49'""]]",7,3,0.26,272,0.78,9,1,0,5,2
41,3/3,Copa del Rey,Atlético Madrid,True,3,0,"[['Marc Bernal', ""29',"", ""72'""], ['Raphinha', ""45+5' (P)""]]",17,8,0.7,649,0.9,8,3,0,3,15,[],7,2,0.3,266,0.78,6,1,0,4,0
42,7/3,LaLiga,Athletic,False,1,0,"[['Lamine Yamal', ""68'""]]",7,2,0.73,616,0.9,9,1,0,4,4,[],8,2,0.27,274,0.77,12,2,0,7,2
43,10/3,Liga de Campeones de la UEFA,Newcastle,False,1,1,"[['Lamine Yamal', ""90+6' (P)""]]",10,3,0.54,327,0.81,9,1,0,1,4,"[['Harvey Barnes', ""86'""]]",16,5,0.46,317,0.82,13,2,0,6,9
44,15/3,LaLiga,Sevilla,True,5,2,"[['Raphinha', ""9' (P),"", ""21' (P),"", ""51'""], ['Dani Olmo', ""38'""], ['João Cancelo', ""60'""]]",13,8,0.61,568,0.91,6,0,0,2,3,"[['Oso', ""45+4'""], ['Djibril Sow', ""90+2'""]]",6,5,0.39,372,0.79,9,1,0,4,4
45,18/3,Liga de Campeones de la UEFA,Newcastle,True,7,2,"[['Raphinha', ""6',"", ""72'""], ['Marc Bernal', ""18'""], ['Lamine Yamal', ""45+7' (P)""], ['Fermín López Marín', ""51'""], ['Robert Lewandowski', ""56',"", ""61'""]]",19,13,0.63,464,0.89,9,1,0,2,6,"[['Anthony Elanga', ""15',"", ""28'""]]",9,6,0.37,284,0.76,14,3,0,2,2
